time,relative_time,dt,loop_wall_dt,feedback_read_ms,core_step_ms,send_motion_ms,csv_write_ms,total_loop_ms,node_state,phase,active_swing_pair,q_cmd_final_sim_FR_hip,q_cmd_final_sim_FR_thigh,q_cmd_final_sim_FR_calf,q_cmd_final_sim_FL_hip,q_cmd_final_sim_FL_thigh,q_cmd_final_sim_FL_calf,q_cmd_final_sim_RR_hip,q_cmd_final_sim_RR_thigh,q_cmd_final_sim_RR_calf,q_cmd_final_sim_RL_hip,q_cmd_final_sim_RL_thigh,q_cmd_final_sim_RL_calf,q_actual_sim_FR_hip,q_actual_sim_FR_thigh,q_actual_sim_FR_calf,q_actual_sim_FL_hip,q_actual_sim_FL_thigh,q_actual_sim_FL_calf,q_actual_sim_RR_hip,q_actual_sim_RR_thigh,q_actual_sim_RR_calf,q_actual_sim_RL_hip,q_actual_sim_RL_thigh,q_actual_sim_RL_calf,q_error_sim_FR_hip,q_error_sim_FR_thigh,q_error_sim_FR_calf,q_error_sim_FL_hip,q_error_sim_FL_thigh,q_error_sim_FL_calf,q_error_sim_RR_hip,q_error_sim_RR_thigh,q_error_sim_RR_calf,q_error_sim_RL_hip,q_error_sim_RL_thigh,q_error_sim_RL_calf,fk_clearance_actual_FR,fk_clearance_actual_FL,fk_clearance_actual_RR,fk_clearance_actual_RL,real_vmc_scale,kp_FR_hip,kp_FR_thigh,kp_FR_calf,kp_FL_hip,kp_FL_thigh,kp_FL_calf,kp_RR_hip,kp_RR_thigh,kp_RR_calf,kp_RL_hip,kp_RL_thigh,kp_RL_calf,kd_FR_hip,kd_FR_thigh,kd_FR_calf,kd_FL_hip,kd_FL_thigh,kd_FL_calf,kd_RR_hip,kd_RR_thigh,kd_RR_calf,kd_RL_hip,kd_RL_thigh,kd_RL_calf,max_q_error,max_tau_est,max_current,max_temp,safety_stop,stop_reason,communication_ok,sent,api_total_ms,spi_total_ms,num_spi_frames,num_can_frames
1782028499.8689058,0.0,0.022381067276000977,0.022381067276000977,0.401196999973763,1.871914000275865,36.90521299995453,0.0,0.0,running,0.023,1,-0.1571,0.3491000000000003,-0.7854000000000005,0.1571,0.3491000000000003,-0.7854000000000005,-0.1571,0.3491000000000003,-0.7854000000000005,0.1571,0.3491000000000003,-0.7854000000000005,-0.07800000160932541,0.3490000069141388,-0.7730000019073486,0.09000000357627869,0.3310000002384186,-0.7519999742507935,-0.04800000041723251,0.32899999618530273,-0.7519999742507935,0.05700000002980232,0.33899998664855957,-0.7730000019073486,-0.07909999839067458,9.999308586150502e-05,-0.01239999809265191,0.0670999964237213,0.01809999976158172,-0.033400025749207085,-0.10909999958276748,0.020100003814697565,-0.033400025749207085,0.10009999997019767,0.010100013351440729,-0.01239999809265191,-0.0007692829548540114,-0.001889285729810175,-0.0018684176286292153,-0.0006760659325923957,0.0,50.0,80.0,80.0,59.39537040393966,130.23031475634696,140.23031475634696,59.29656762352521,130.01367973741083,139.99704497619248,50.0,80.0,80.0,5.0,5.0,5.0,6.0,6.0,6.0,6.001330780897468,6.001330780897468,6.001330780897468,5.0,5.0,5.0,0.10909999958276748,0.7599999904632568,0.0,31.899999618530273,0,,1,1,27.193404999707127,27.183389000128955,12,12
1782028499.9114602,0.02,0.04572892189025879,0.04572892189025879,0.12488999982451787,6.206978000136587,29.927005999979883,5.139506999967125,0.0,running,0.046,1,-0.1571,0.3499693989941238,-0.7864210927306672,0.15709999983227885,0.3484693296650592,-0.7847202756918422,-0.15709999983227885,0.3485305377673884,-0.7848479920997713,0.1571,0.3501512586397015,-0.7868004720796345,-0.07800000160932541,0.3490000069141388,-0.7730000019073486,0.09000000357627869,0.3310000002384186,-0.7519999742507935,-0.04800000041723251,0.32899999618530273,-0.7519999742507935,0.05700000002980232,0.33899998664855957,-0.7730000019073486,-0.07909999839067458,0.000969392079985032,-0.013421090823318549,0.06709999625600016,0.017469329426640645,-0.03272030144104876,-0.10909999941504633,0.01953054158208567,-0.03284801784897784,0.10009999997019767,0.011151271991141909,-0.013800470172285917,-0.0007692829548540114,-0.001889285729810175,-0.0018684176286292153,-0.0006760659325923957,0.009831171800237192,50.0,80.0,80.0,61.864937440189756,139.49351540071154,149.49351540071157,61.864937440189756,139.49351540071154,149.49351540071157,50.0,80.0,80.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,0.10909999941504633,0.5199999809265137,0.0,31.899999618530273,0,,1,1,20.401173000209383,20.39406899984897,12,12
1782028499.950987,0.04,0.043142080307006836,0.043142080307006836,0.5475580001075286,4.575373999614385,27.10035300015079,5.0512550001258205,0.0,running,0.069,1,-0.1571,0.3522748071962605,-0.7905289332597781,0.15709999912638328,0.34793121889478823,-0.7840873521609864,-0.15709999912638328,0.34801911427583576,-0.7842707686824467,0.1571,0.3532219825392683,-0.7925048997596659,-0.09000000357627869,0.3490000069141388,-0.7730000019073486,0.09000000357627869,0.3310000002384186,-0.7519999742507935,-0.057999998331069946,0.3319999873638153,-0.7559999823570251,0.06599999964237213,0.3400000035762787,-0.7739999890327454,-0.0670999964237213,0.0032748002821216815,-0.0175289313524295,0.0670999955501046,0.01693121865636965,-0.032087377910192894,-0.09910000079531334,0.016019126912020454,-0.02827078632542157,0.09110000035762786,0.0132219789629896,-0.01850491072692051,-0.0007692829548540114,-0.001889285729810175,-0.001655276227541247,-0.0006240962299038366,0.02,50.0,80.0,80.0,62.0,140.0,150.0,62.0,140.0,150.0,50.0,80.0,80.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,0.09910000079531334,2.0999999046325684,0.0,31.899999618530273,0,,1,1,20.170208000308776,20.163456000318547,12,12
1782028499.9933827,0.06,0.03743767738342285,0.03743767738342285,0.16578399981881375,4.512047999924107,32.8428409998196,3.6509040000964887,0.0,running,0.092,1,-0.1571,0.35653539061316164,-0.7989020482931698,0.15709999963163487,0.3474603655928158,-0.7834128988896716,-0.15709999963163487,0.34762806905634364,-0.7837628705473003,0.1571,0.3590393975035509,-0.8041271117818725,-0.11999999731779099,0.3490000069141388,-0.7820000052452087,0.12800000607967377,0.34599998593330383,-0.7799999713897705,-0.10599999874830246,0.3440000116825104,-0.777999997138977,0.10899999737739563,0.34599998593330383,-0.7799999713897705,-0.037100002682209005,0.007535383699022846,-0.016902043047961057,0.029099993551961106,0.0014603796595119567,-0.003412927499901075,-0.051100000883332414,0.00362805737383326,-0.005762873408323266,0.04810000262260436,0.013039411570247073,-0.024127140392101953,-0.00021230754142409491,-0.0003091851808720847,-0.0004147422919231758,-0.0003091851808720847,0.03,50.0,80.0,80.0,62.0,140.0,150.0,62.0,140.0,150.0,50.0,80.0,80.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,0.051100000883332414,0.6700000166893005,0.0,31.899999618530273,0,,1,1,22.597679999762477,22.58881600027962,12,12
1782028500.0339332,0.08,0.043866634368896484,0.043866634368896484,0.3787989999182173,6.454745000155526,27.24490299988247,4.740582000067661,0.0,running,0.11499999999999999,1,-0.1571,0.3622624157377319,-0.8106209240907167,0.1571000002968093,0.3470610491096028,-0.7826763308203287,-0.1571000002968093,0.3473838724278374,-0.783350013588598,0.1571,0.3669159566677265,-0.8203357633348626,-0.1289999932050705,0.3499999940395355,-0.7860000133514404,0.13600000739097595,0.34700000286102295,-0.7820000052452087,-0.11900000274181366,0.34700000286102295,-0.7799999713897705,0.11400000005960464,0.3479999899864197,-0.7839999794960022,-0.028100006794929494,0.012262421698196357,-0.024620910739276303,0.021099992905833337,6.104624857983243e-05,-0.0006763255751199848,-0.03809999755499563,0.0003838695668144654,-0.0033500421988275075,0.043099999940395345,0.018915966681306795,-0.03633578383886038,2.9226858078934548e-05,-0.00019348566636256948,-0.000318748804940705,-7.750777299653233e-05,0.04,50.0,80.0,80.0,62.0,140.0,150.0,62.0,140.0,150.0,50.0,80.0,80.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,0.043099999940395345,0.7900000214576721,0.0,31.899999618530273,0,,1,1,16.60622000008516,16.599051999946823,12,12
1782028500.074176,0.1,0.040843963623046875,0.040843963623046875,0.255603999903542,6.731564999881812,26.60918799983847,4.918655999972543,0.0,running,0.13799999999999998,1,-0.1571,0.3681295258649159,-0.8230020116215104,0.15709999836798158,0.3468673066133634,-0.7821358687779145,-0.15709999836798158,0.3471749410068359,-0.7827778237011561,0.1571,0.37501501913641205,-0.8373844743449621,-0.13099999725818634,0.35100001096725464,-0.7879999876022339,0.13899999856948853,0.3479999899864197,-0.7820000052452087,-0.13199999928474426,0.34700000286102295,-0.781000018119812,0.12600000202655792,0.3499999940395355,-0.7879999876022339,-0.02610000274181365,0.017129514897661235,-0.035002024019276545,0.018099999798493055,-0.0011326833730562758,-0.00013586353270578222,-0.025099999083237318,0.00017493814581293066,-0.0017778055813441052,0.031099997973442067,0.02501502509687653,-0.04938448674272822,0.00014577943152255246,-0.00020303738399102267,-0.0002561829381762526,0.00015529649512724397,0.05,50.0,80.0,80.0,62.0,140.0,150.0,62.0,140.0,150.0,50.0,80.0,80.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,0.04938448674272822,0.5199999809265137,0.0,31.899999618530273,0,,1,1,16.739685000175086,16.731141000036587,12,12
1782028500.115225,0.12,0.040178537368774414,0.040178537368774414,0.29960199981360347,6.619922000027145,27.431517999957578,5.012667999835685,0.0,running,0.16099999999999998,1,-0.1571,0.37277331972296746,-0.8332502600458993,0.15709999069559757,0.3467731311213005,-0.7815582759011305,-0.15709999069559757,0.34711958376825874,-0.782281163919629,0.1571,0.38147882214248574,-0.8514448427139887,-0.13600000739097595,0.3529999852180481,-0.7910000085830688,0.14399999380111694,0.3479999899864197,-0.7820000052452087,-0.1379999965429306,0.34700000286102295,-0.781000018119812,0.13099999725818634,0.3529999852180481,-0.7929999828338623,-0.021099992609024038,0.01977333450491936,-0.04225025146283046,0.013099996894480631,-0.0012268588651191958,0.0004417293440782677,-0.01909999415266697,0.00011958090723579451,-0.001281145799816974,0.02610000274181365,0.028478836924437645,-0.058444859880126376,0.00031649607299888416,-0.00020303738399102267,-0.0002561829381762526,0.00044310523182067296,0.06,50.0,80.0,80.0,62.0,140.0,150.0,62.0,140.0,150.0,50.0,80.0,80.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,0.058444859880126376,0.6399999856948853,0.0,31.899999618530273,0,,1,1,18.936193000172352,18.927522000012686,12,12
1782028500.155715,0.14,0.0408170223236084,0.0408170223236084,0.5202970000937057,6.886854000185849,26.510601000154566,4.775205999976606,0.0,running,0.18399999999999997,1,-0.1571,0.3760394894582998,-0.8410526492801579,0.1570999625216627,0.3467750165208774,-0.7809346358121283,-0.1570999625216627,0.3472227117008107,-0.7818686325451154,0.1571,0.3861176572371564,-0.8621281927970508,-0.13899999856948853,0.35600000619888306,-0.800000011920929,0.1459999978542328,0.3479999899864197,-0.7820000052452087,-0.14300000667572021,0.34700000286102295,-0.781000018119812,0.1379999965429306,0.36000001430511475,-0.8069999814033508,-0.018100001430511464,0.020039483259416735,-0.04105263735922893,0.011099964667429907,-0.0012249734655422895,0.001065369433080443,-0.01409995584594248,0.00022270883978775524,-0.0008686144253033934,0.019100003457069387,0.026117642932041663,-0.055128211393699944,0.0008604611262670869,-0.00020303738399102267,-0.0002561829381762526,0.0012717359195008604,0.07,50.0,80.0,80.0,62.0,140.0,150.0,62.0,140.0,150.0,50.0,80.0,80.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,0.055128211393699944,0.6399999856948853,0.0,31.899999618530273,0,,1,1,18.477079000149388,18.46738300037032,12,12
1782028500.199527,0.16,0.041108131408691406,0.041108131408691406,0.5064090000814758,6.705135000174778,29.538782000145147,5.024538999805372,0.0,running,0.20699999999999996,1,-0.1571,0.3769163734768135,-0.844258119954253,0.15709992159440697,0.3469466792347214,-0.7804279056436012,-0.15709992159440697,0.3474007622291599,-0.7813750433500152,0.1571,0.3875643510586142,-0.8665355221060299,-0.1420000046491623,0.36000001430511475,-0.8090000152587891,0.14800000190734863,0.34700000286102295,-0.781000018119812,-0.14499999582767487,0.34700000286102295,-0.7820000052452087,0.14100000262260437,0.3659999966621399,-0.8190000057220459,-0.015099995350837697,0.016916359171698758,-0.035258104695463977,0.009099919687058339,-5.332362630156018e-05,0.0005721124762108065,-0.012099925766732106,0.00040075936813693813,0.0006249618951935654,0.01609999737739562,0.021564354396474306,-0.04753551638398401,0.0014007704614770189,-0.0002561829381762526,-0.00019348566636256948,0.0019929285974541466,0.08,50.0,80.0,80.0,62.0,140.0,150.0,62.0,140.0,150.0,50.0,80.0,80.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,0.04753551638398401,0.6399999856948853,0.0,31.899999618530273,0,,1,1,18.386362999990524,18.37730700026441,12,12
1782028500.244203,0.18,0.04330921173095703,0.04330921173095703,0.23842200016588322,6.583347999821854,31.37857100000474,4.722247999779938,0.0,running,0.22999999999999995,1,-0.1571,0.37260548281779954,-0.8369318340045389,0.15709989618193296,0.34716651150038164,-0.7798042226859113,-0.15709989618193296,0.3477541383263525,-0.7810296156824982,0.1571,0.3820018872100614,-0.8565916071558655,-0.14399999380111694,0.36500000953674316,-0.8199999928474426,0.14900000393390656,0.34700000286102295,-0.781000018119812,-0.1469999998807907,0.34700000286102295,-0.781000018119812,0.14399999380111694,0.37299999594688416,-0.8339999914169312,-0.013100006198883046,0.007605473281056374,-0.016931841157096228,0.008099892248026402,0.00016650863935868676,0.0011957954339006927,-0.010099896301142247,0.0007541354653295418,-2.9597562686167755e-05,0.013100006198883046,0.009001891263177242,-0.022591615738934312,0.0020677899106325004,-0.0002561829381762526,-0.0002561829381762526,0.002913228145381419,0.09,50.0,80.0,80.0,62.0,140.0,150.0,62.0,140.0,150.0,50.0,80.0,80.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,0.022591615738934312,0.7400000095367432,0.0,31.899999618530273,0,,1,1,22.132176000013715,22.123216000181856,12,12
