kp,elapsed_ms,q_base,q_target,angle,speed,type2_torque,age_ms,online,error_code
30.0,566.7924449999191,-0.001,0.028999999999999998,0.024,0.1,0.0,2.0,True,0
30.0,586.8419489997905,-0.001,0.028999999999999998,0.024,0.02,0.35,7.0,True,0
30.0,606.9636399997762,-0.001,0.028999999999999998,0.024,-0.04,0.0,12.0,True,0
30.0,626.8150449996028,-0.001,0.028999999999999998,0.024,0.09,0.35,2.0,True,0
30.0,646.7903780003326,-0.001,0.028999999999999998,0.024,0.3,0.04,7.0,True,0
30.0,666.8391769999289,-0.001,0.028999999999999998,0.024,0.13,0.22,13.0,True,0
30.0,686.8162060000031,-0.001,0.028999999999999998,0.024,-0.09,0.21,3.0,True,0
70.0,15.589685999657377,0.0,0.03,0.0,-0.01,0.0,10.0,True,0
70.0,27.4512109999705,0.0,0.03,0.0,-0.2,-0.1,3.0,True,0
70.0,47.56045999965863,0.0,0.03,0.008,0.98,0.17,5.0,True,0
70.0,68.05009900017467,0.0,0.03,0.008,0.98,0.17,5.0,True,0
70.0,87.43091699943761,0.0,0.03,0.018,0.52,0.22,10.0,True,0
70.0,107.46871499941335,0.0,0.03,0.025,-0.08,0.0,1.0,True,0
70.0,127.05927899969538,0.0,0.03,0.027,0.13,0.0,6.0,True,0
70.0,147.44172599966987,0.0,0.03,0.027,-0.02,0.0,11.0,True,0
70.0,167.10962900015147,0.0,0.03,0.028,0.09,0.07,2.0,True,0
70.0,187.04074600009335,0.0,0.03,0.029,0.09,0.0,7.0,True,0
70.0,206.93384900005185,0.0,0.03,0.029,0.14,0.0,12.0,True,0
70.0,226.9851179999023,0.0,0.03,0.029,-0.01,0.0,3.0,True,0
70.0,246.90221999935602,0.0,0.03,0.029,-0.19,0.0,8.0,True,0
70.0,266.8987719998768,0.0,0.03,0.029,0.04,0.0,14.0,True,0
70.0,286.942394000107,0.0,0.03,0.029,-0.11,0.13,4.0,True,0
70.0,306.91117199967266,0.0,0.03,0.029,-0.06,0.0,9.0,True,0
70.0,327.057058999344,0.0,0.03,0.029,0.1,0.0,14.0,True,0
70.0,346.9397949993436,0.0,0.03,0.029,-0.1,0.03,4.0,True,0
70.0,367.0810409994374,0.0,0.03,0.029,-0.13,0.0,9.0,True,0
70.0,387.0053749997169,0.0,0.03,0.029,-0.2,0.0,14.0,True,0
70.0,406.9041100001414,0.0,0.03,0.029,0.05,0.0,4.0,True,0
70.0,426.9734579993383,0.0,0.03,0.029,0.17,0.08,9.0,True,0
70.0,447.0052079996094,0.0,0.03,0.029,0.07,0.06,15.0,True,0
70.0,466.8985669995891,0.0,0.03,0.029,0.19,0.0,5.0,True,0
70.0,486.91499100004876,0.0,0.03,0.029,0.09,0.0,10.0,True,0
70.0,506.90085599944723,0.0,0.03,0.029,0.02,-0.18,15.0,True,0
70.0,526.9129589996737,0.0,0.03,0.029,0.06,0.0,5.0,True,0
70.0,547.4301799995374,0.0,0.03,0.029,-0.15,0.0,10.0,True,0
70.0,567.002985999352,0.0,0.03,0.029,0.04,0.0,0.0,True,0
70.0,586.9812679993629,0.0,0.03,0.029,0.08,0.09,5.0,True,0
70.0,606.9000329998744,0.0,0.03,0.029,0.04,0.09,10.0,True,0
70.0,626.906312999381,0.0,0.03,0.029,-0.01,0.22,0.0,True,0
70.0,646.8807229994127,0.0,0.03,0.029,0.06,0.0,6.0,True,0
70.0,666.9991549997576,0.0,0.03,0.029,0.0,0.0,11.0,True,0
70.0,686.8915549994199,0.0,0.03,0.029,0.01,0.47,1.0,True,0
