time,relative_time,dt,loop_wall_dt,feedback_read_ms,core_step_ms,send_motion_ms,csv_write_ms,total_loop_ms,node_state,phase,active_swing_pair,q_cmd_final_sim_FR_hip,q_cmd_final_sim_FR_thigh,q_cmd_final_sim_FR_calf,q_cmd_final_sim_FL_hip,q_cmd_final_sim_FL_thigh,q_cmd_final_sim_FL_calf,q_cmd_final_sim_RR_hip,q_cmd_final_sim_RR_thigh,q_cmd_final_sim_RR_calf,q_cmd_final_sim_RL_hip,q_cmd_final_sim_RL_thigh,q_cmd_final_sim_RL_calf,q_actual_sim_FR_hip,q_actual_sim_FR_thigh,q_actual_sim_FR_calf,q_actual_sim_FL_hip,q_actual_sim_FL_thigh,q_actual_sim_FL_calf,q_actual_sim_RR_hip,q_actual_sim_RR_thigh,q_actual_sim_RR_calf,q_actual_sim_RL_hip,q_actual_sim_RL_thigh,q_actual_sim_RL_calf,q_error_sim_FR_hip,q_error_sim_FR_thigh,q_error_sim_FR_calf,q_error_sim_FL_hip,q_error_sim_FL_thigh,q_error_sim_FL_calf,q_error_sim_RR_hip,q_error_sim_RR_thigh,q_error_sim_RR_calf,q_error_sim_RL_hip,q_error_sim_RL_thigh,q_error_sim_RL_calf,fk_clearance_actual_FR,fk_clearance_actual_FL,fk_clearance_actual_RR,fk_clearance_actual_RL,real_vmc_scale,kp_FR_hip,kp_FR_thigh,kp_FR_calf,kp_FL_hip,kp_FL_thigh,kp_FL_calf,kp_RR_hip,kp_RR_thigh,kp_RR_calf,kp_RL_hip,kp_RL_thigh,kp_RL_calf,kd_FR_hip,kd_FR_thigh,kd_FR_calf,kd_FL_hip,kd_FL_thigh,kd_FL_calf,kd_RR_hip,kd_RR_thigh,kd_RR_calf,kd_RL_hip,kd_RL_thigh,kd_RL_calf,max_q_error,max_tau_est,max_current,max_temp,safety_stop,stop_reason,communication_ok,sent,api_total_ms,spi_total_ms,num_spi_frames,num_can_frames,actual_send_hz,send_period_p95_ms,send_period_max_ms
1782714167.4267442,0.022207975387573242,0.022207975387573242,0.022207975387573242,0.17753999964043032,0.1544679998914944,10.580911999568343,0.0,0.0,stand_only,0.0,0,-0.15000000596046448,0.3569999933242798,-0.7950000166893005,0.15199999511241913,0.3490000069141388,-0.777999997138977,-0.15000000596046448,0.3479999899864197,-0.781000018119812,0.14900000393390656,0.3569999933242798,-0.7919999957084656,-0.1509999930858612,0.3569999933242798,-0.7950000166893005,0.15199999511241913,0.3490000069141388,-0.777999997138977,-0.15000000596046448,0.3479999899864197,-0.781000018119812,0.14900000393390656,0.3569999933242798,-0.7919999957084656,0.0009999871253967285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005334772836725898,-0.0004612072352372376,-0.0002655995257419552,0.0003445715502283786,0.0,8.0,12.0,12.0,8.0,12.0,12.0,8.0,12.0,12.0,8.0,12.0,12.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0009999871253967285,0.3679999113082886,0.0,33.900001525878906,0,,1,1,1.969869000276958,1.9605240004239022,2,12,0.0,0.0,0.0
1782714167.4464087,0.04221224784851074,0.0200042724609375,0.0200042724609375,0.1488030002292362,0.10460999965289375,10.697650999645703,5.064498999672651,0.0,stand_only,0.0,0,-0.15000000596046448,0.3569999933242798,-0.7950000166893005,0.15199999511241913,0.3490000069141388,-0.777999997138977,-0.15000000596046448,0.3479999899864197,-0.781000018119812,0.14900000393390656,0.3569999933242798,-0.7919999957084656,-0.1509999930858612,0.3569999933242798,-0.7950000166893005,0.15199999511241913,0.3490000069141388,-0.777999997138977,-0.15000000596046448,0.3479999899864197,-0.781000018119812,0.14900000393390656,0.3569999933242798,-0.7919999957084656,0.0009999871253967285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005334772836725898,-0.0004612072352372376,-0.0002655995257419552,0.0003445715502283786,0.0,8.0,12.0,12.0,8.0,12.0,12.0,8.0,12.0,12.0,8.0,12.0,12.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0009999871253967285,0.3679999113082886,0.0,33.900001525878906,0,,1,1,1.9513400002324488,1.9421239994699135,2,12,49.961931506778434,20.01523899980384,20.01523899980384
1782714167.463978,0.06249237060546875,0.020280122756958008,0.020280122756958008,0.17161999949166784,0.12374699963402236,9.74905399925774,4.607529000168142,0.0,stand_only,0.0,0,-0.15000000596046448,0.3569999933242798,-0.7950000166893005,0.15199999511241913,0.3490000069141388,-0.777999997138977,-0.15000000596046448,0.3479999899864197,-0.781000018119812,0.14900000393390656,0.3569999933242798,-0.7919999957084656,-0.15000000596046448,0.3569999933242798,-0.7950000166893005,0.15199999511241913,0.3490000069141388,-0.777999997138977,-0.15000000596046448,0.3479999899864197,-0.781000018119812,0.14900000393390656,0.3569999933242798,-0.7919999957084656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005334772836725898,-0.0004612072352372376,-0.0002655995257419552,0.0003445715502283786,0.0,8.0,12.0,12.0,8.0,12.0,12.0,8.0,12.0,12.0,8.0,12.0,12.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.3799999952316284,0.0,33.900001525878906,0,,1,1,2.22741000015958,2.2164980000525247,2,12,50.70101119333897,20.01523899980384,20.01523899980384
1782714167.481885,0.08212614059448242,0.019633769989013672,0.019633769989013672,0.12589099969773088,0.08089800030575134,8.9417079998384,4.5552390001830645,0.0,stand_only,0.0,0,-0.15000000596046448,0.3569999933242798,-0.7950000166893005,0.15199999511241913,0.3490000069141388,-0.777999997138977,-0.15000000596046448,0.3479999899864197,-0.781000018119812,0.14900000393390656,0.3569999933242798,-0.7919999957084656,-0.15000000596046448,0.3569999933242798,-0.7950000166893005,0.15199999511241913,0.3490000069141388,-0.777999997138977,-0.15000000596046448,0.3490000069141388,-0.781000018119812,0.14900000393390656,0.3569999933242798,-0.7919999957084656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010000169277191162,0.0,0.0,0.0,0.0,0.0005334772836725898,-0.0004612072352372376,-0.0002655995257419552,0.0003445715502283786,0.0,8.0,12.0,12.0,8.0,12.0,12.0,8.0,12.0,12.0,8.0,12.0,12.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0010000169277191162,0.3920001983642578,0.0,33.900001525878906,0,,1,1,1.9234040000810637,1.915498999551346,2,12,50.494870772825344,20.01523899980384,20.01523899980384
1782714167.502676,0.10231733322143555,0.020191192626953125,0.020191192626953125,0.2578940002422314,0.1771240004018182,8.749159000217333,3.602608999244694,0.0,stand_only,0.0,0,-0.15000000596046448,0.3569999933242798,-0.7950000166893005,0.15199999511241913,0.3490000069141388,-0.777999997138977,-0.15000000596046448,0.3479999899864197,-0.781000018119812,0.14900000393390656,0.3569999933242798,-0.7919999957084656,-0.15000000596046448,0.3569999933242798,-0.7950000166893005,0.15199999511241913,0.3479999899864197,-0.7770000100135803,-0.14900000393390656,0.3479999899864197,-0.781000018119812,0.1469999998807907,0.3569999933242798,-0.7919999957084656,0.0,0.0,0.0,0.0,0.0010000169277191162,-0.0009999871253967285,-0.0010000020265579224,0.0,0.0,0.0020000040531158447,0.0,0.0,0.0005334772836725898,-0.0004612072352372376,-0.0002655995257419552,0.0003445715502283786,0.0,8.0,12.0,12.0,8.0,12.0,12.0,8.0,12.0,12.0,8.0,12.0,12.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0020000040531158447,0.36000001430511475,0.0,33.900001525878906,0,,1,1,2.02116600030422,2.0139980006206315,2,12,50.367289608287024,20.01523899980384,20.01523899980384
1782714167.5215616,0.12233471870422363,0.020017385482788086,0.020017385482788086,0.25862999973469414,0.17962000038096448,7.816113000444602,4.432292999808851,0.0,stand_only,0.0,0,-0.15000000596046448,0.3569999933242798,-0.7950000166893005,0.15199999511241913,0.3490000069141388,-0.777999997138977,-0.15000000596046448,0.3479999899864197,-0.781000018119812,0.14900000393390656,0.3569999933242798,-0.7919999957084656,-0.14800000190734863,0.3569999933242798,-0.7950000166893005,0.1509999930858612,0.3479999899864197,-0.7770000100135803,-0.1469999998807907,0.3479999899864197,-0.781000018119812,0.14499999582767487,0.3569999933242798,-0.7919999957084656,-0.0020000040531158447,0.0,0.0,0.0010000020265579224,0.0010000169277191162,-0.0009999871253967285,-0.003000006079673767,0.0,0.0,0.0040000081062316895,0.0,0.0,0.0005334772836725898,-0.0004612072352372376,-0.0002655995257419552,0.0003445715502283786,0.0,8.0,12.0,12.0,8.0,12.0,12.0,8.0,12.0,12.0,8.0,12.0,12.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0040000081062316895,0.30400004982948303,0.0,33.900001525878906,0,,1,1,2.11179199959588,2.1041440004410106,2,12,50.7872764263257,20.01523899980384,20.01523899980384
1782714167.5411973,0.14231085777282715,0.019976139068603516,0.019976139068603516,0.3198790000169538,0.17529999968246557,7.607724999616039,4.269824999937555,0.0,stand_only,0.0,0,-0.15000000596046448,0.3569999933242798,-0.7950000166893005,0.15199999511241913,0.3490000069141388,-0.777999997138977,-0.15000000596046448,0.3479999899864197,-0.781000018119812,0.14900000393390656,0.3569999933242798,-0.7919999957084656,-0.1469999998807907,0.3569999933242798,-0.7950000166893005,0.14900000393390656,0.3479999899864197,-0.7770000100135803,-0.1459999978542328,0.3479999899864197,-0.7799999713897705,0.14100000262260437,0.3569999933242798,-0.7919999957084656,-0.003000006079673767,0.0,0.0,0.0029999911785125732,0.0010000169277191162,-0.0009999871253967285,-0.0040000081062316895,0.0,-0.001000046730041504,0.008000001311302185,0.0,0.0,0.0005334772836725898,-0.0004612072352372376,-0.0002655995257419552,0.0003445715502283786,0.0,8.0,12.0,12.0,8.0,12.0,12.0,8.0,12.0,12.0,8.0,12.0,12.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.008000001311302185,0.40400001406669617,0.0,33.900001525878906,0,,1,1,1.8299610001122346,1.8228569997518207,2,12,50.60145223472954,20.123817000239796,20.123817000239796
1782714167.5633366,0.16231179237365723,0.020000934600830078,0.020000934600830078,0.3080710002905107,0.17475599997851532,9.854720000475936,4.752812000333506,0.0,stand_only,0.0,0,-0.15000000596046448,0.3569999933242798,-0.7950000166893005,0.15199999511241913,0.3490000069141388,-0.777999997138977,-0.15000000596046448,0.3479999899864197,-0.781000018119812,0.14900000393390656,0.3569999933242798,-0.7919999957084656,-0.1459999978542328,0.3569999933242798,-0.7950000166893005,0.14800000190734863,0.3479999899864197,-0.7760000228881836,-0.14399999380111694,0.3479999899864197,-0.781000018119812,0.13899999856948853,0.3569999933242798,-0.7919999957084656,-0.0040000081062316895,0.0,0.0,0.003999993205070496,0.0010000169277191162,-0.001999974250793457,-0.006000012159347534,0.0,0.0,0.01000000536441803,0.0,0.0,0.0005334772836725898,-0.0004612072352372376,-0.0002655995257419552,0.0003445715502283786,0.0,8.0,12.0,12.0,8.0,12.0,12.0,8.0,12.0,12.0,8.0,12.0,12.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.01000000536441803,0.3200000375509262,0.0,33.900001525878906,0,,1,1,3.707476000272436,3.7009480001870543,2,12,49.708881356692686,22.24623399979464,22.24623399979464
1782714167.5847518,0.1823115348815918,0.01999974250793457,0.01999974250793457,0.23786200017639203,0.17760400078259408,10.981498000546708,3.1865370001469273,0.0,stand_only,0.0,0,-0.15000000596046448,0.3569999933242798,-0.7950000166893005,0.15199999511241913,0.3490000069141388,-0.777999997138977,-0.15000000596046448,0.3479999899864197,-0.781000018119812,0.14900000393390656,0.3569999933242798,-0.7919999957084656,-0.1459999978542328,0.3569999933242798,-0.7950000166893005,0.1469999998807907,0.3479999899864197,-0.7760000228881836,-0.1420000046491623,0.3479999899864197,-0.7799999713897705,0.13699999451637268,0.3569999933242798,-0.7919999957084656,-0.0040000081062316895,0.0,0.0,0.004999995231628418,0.0010000169277191162,-0.001999974250793457,-0.008000001311302185,0.0,-0.001000046730041504,0.012000009417533875,0.0,0.0,0.0005334772836725898,-0.0004612072352372376,-0.0002655995257419552,0.0003445715502283786,0.0,8.0,12.0,12.0,8.0,12.0,12.0,8.0,12.0,12.0,8.0,12.0,12.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.012000009417533875,0.4240000247955322,0.0,33.900001525878906,0,,1,1,3.475599000012153,3.4692310000536963,2,12,49.762441568218115,22.24623399979464,22.24623399979464
1782714167.606198,0.20238924026489258,0.02007770538330078,0.02007770538330078,0.29530299980251584,0.20662800034187967,12.423803000274347,4.457572999854165,0.0,stand_only,0.0,0,-0.15000000596046448,0.3569999933242798,-0.7950000166893005,0.15199999511241913,0.3490000069141388,-0.777999997138977,-0.15000000596046448,0.3479999899864197,-0.781000018119812,0.14900000393390656,0.3569999933242798,-0.7919999957084656,-0.14300000667572021,0.3569999933242798,-0.7950000166893005,0.14499999582767487,0.3479999899864197,-0.7770000100135803,-0.14000000059604645,0.3479999899864197,-0.7799999713897705,0.1340000033378601,0.3569999933242798,-0.7919999957084656,-0.006999999284744263,0.0,0.0,0.006999999284744263,0.0010000169277191162,-0.0009999871253967285,-0.01000000536441803,0.0,-0.001000046730041504,0.015000000596046448,0.0,0.0,0.0005334772836725898,-0.0004612072352372376,-0.0002655995257419552,0.0003445715502283786,0.0,8.0,12.0,12.0,8.0,12.0,12.0,8.0,12.0,12.0,8.0,12.0,12.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.015000000596046448,0.6200000047683716,0.0,33.900001525878906,0,,1,1,5.25019999986398,5.24338400009583,2,12,49.10396610335698,22.520767999594682,22.520767999594682
