timestamp,cycle_sequence,phase,cmd_vx,cmd_vy,cmd_yaw,policy_loop_hz,state_age_ms,send_start_time,send_end_time,board_A_send_time,board_B_send_time,command_sequence,FR_hip_joint_q_target_raw,FR_hip_joint_q_target_safe,FR_hip_joint_q_current,FR_hip_joint_dq_current,FR_hip_joint_raw_pd_torque,FR_hip_joint_limited_torque,FR_hip_joint_feedback_torque,FR_hip_joint_torque_limited_flag,FR_hip_joint_motor_online,FR_hip_joint_motor_fault,FR_thigh_joint_q_target_raw,FR_thigh_joint_q_target_safe,FR_thigh_joint_q_current,FR_thigh_joint_dq_current,FR_thigh_joint_raw_pd_torque,FR_thigh_joint_limited_torque,FR_thigh_joint_feedback_torque,FR_thigh_joint_torque_limited_flag,FR_thigh_joint_motor_online,FR_thigh_joint_motor_fault,FR_calf_joint_q_target_raw,FR_calf_joint_q_target_safe,FR_calf_joint_q_current,FR_calf_joint_dq_current,FR_calf_joint_raw_pd_torque,FR_calf_joint_limited_torque,FR_calf_joint_feedback_torque,FR_calf_joint_torque_limited_flag,FR_calf_joint_motor_online,FR_calf_joint_motor_fault,FL_hip_joint_q_target_raw,FL_hip_joint_q_target_safe,FL_hip_joint_q_current,FL_hip_joint_dq_current,FL_hip_joint_raw_pd_torque,FL_hip_joint_limited_torque,FL_hip_joint_feedback_torque,FL_hip_joint_torque_limited_flag,FL_hip_joint_motor_online,FL_hip_joint_motor_fault,FL_thigh_joint_q_target_raw,FL_thigh_joint_q_target_safe,FL_thigh_joint_q_current,FL_thigh_joint_dq_current,FL_thigh_joint_raw_pd_torque,FL_thigh_joint_limited_torque,FL_thigh_joint_feedback_torque,FL_thigh_joint_torque_limited_flag,FL_thigh_joint_motor_online,FL_thigh_joint_motor_fault,FL_calf_joint_q_target_raw,FL_calf_joint_q_target_safe,FL_calf_joint_q_current,FL_calf_joint_dq_current,FL_calf_joint_raw_pd_torque,FL_calf_joint_limited_torque,FL_calf_joint_feedback_torque,FL_calf_joint_torque_limited_flag,FL_calf_joint_motor_online,FL_calf_joint_motor_fault,RL_hip_joint_q_target_raw,RL_hip_joint_q_target_safe,RL_hip_joint_q_current,RL_hip_joint_dq_current,RL_hip_joint_raw_pd_torque,RL_hip_joint_limited_torque,RL_hip_joint_feedback_torque,RL_hip_joint_torque_limited_flag,RL_hip_joint_motor_online,RL_hip_joint_motor_fault,RL_thigh_joint_q_target_raw,RL_thigh_joint_q_target_safe,RL_thigh_joint_q_current,RL_thigh_joint_dq_current,RL_thigh_joint_raw_pd_torque,RL_thigh_joint_limited_torque,RL_thigh_joint_feedback_torque,RL_thigh_joint_torque_limited_flag,RL_thigh_joint_motor_online,RL_thigh_joint_motor_fault,RL_calf_joint_q_target_raw,RL_calf_joint_q_target_safe,RL_calf_joint_q_current,RL_calf_joint_dq_current,RL_calf_joint_raw_pd_torque,RL_calf_joint_limited_torque,RL_calf_joint_feedback_torque,RL_calf_joint_torque_limited_flag,RL_calf_joint_motor_online,RL_calf_joint_motor_fault,RR_hip_joint_q_target_raw,RR_hip_joint_q_target_safe,RR_hip_joint_q_current,RR_hip_joint_dq_current,RR_hip_joint_raw_pd_torque,RR_hip_joint_limited_torque,RR_hip_joint_feedback_torque,RR_hip_joint_torque_limited_flag,RR_hip_joint_motor_online,RR_hip_joint_motor_fault,RR_thigh_joint_q_target_raw,RR_thigh_joint_q_target_safe,RR_thigh_joint_q_current,RR_thigh_joint_dq_current,RR_thigh_joint_raw_pd_torque,RR_thigh_joint_limited_torque,RR_thigh_joint_feedback_torque,RR_thigh_joint_torque_limited_flag,RR_thigh_joint_motor_online,RR_thigh_joint_motor_fault,RR_calf_joint_q_target_raw,RR_calf_joint_q_target_safe,RR_calf_joint_q_current,RR_calf_joint_dq_current,RR_calf_joint_raw_pd_torque,RR_calf_joint_limited_torque,RR_calf_joint_feedback_torque,RR_calf_joint_torque_limited_flag,RR_calf_joint_motor_online,RR_calf_joint_motor_fault
1783902943.136299,1,0.074074,0.000000,0.000000,0.000000,50.303,13.000,,,,,0,0.000000,-0.228533,-0.393000,-0.110000,23.712000,10.000000,0.000000,1,1,0,0.563000,0.144086,0.001000,0.010000,39.324005,10.000000,0.000000,1,1,0,-0.950000,-0.146857,-0.004000,0.000000,-66.220001,-10.000000,0.000000,1,1,0,0.000000,0.219533,0.385000,0.060000,-23.171999,-10.000000,0.000000,1,1,0,-0.563000,-0.144771,-0.001000,-0.040000,-39.276005,-10.000000,0.000000,1,1,0,0.950000,0.146743,0.000000,0.170000,66.227997,10.000000,0.000000,1,1,0,0.000000,-0.250933,-0.418000,0.020000,25.056000,10.000000,0.000000,1,1,0,-0.563000,-0.144943,-0.003000,0.040000,-39.264000,-10.000000,0.000000,1,1,0,0.950000,0.142343,0.002000,-0.110000,66.536003,10.000000,0.000000,1,1,0,0.000000,0.230133,0.395000,0.090000,-23.808001,-10.000000,0.000000,1,1,0,0.563000,0.141686,-0.003000,0.080000,39.492004,10.000000,0.000000,1,1,0,-0.950000,-0.142629,0.000000,0.010000,-66.515999,-10.000000,0.000000,1,1,0
1783902943.155306,2,0.111111,0.000000,0.000000,0.000000,49.826,15.000,,,,,0,0.000000,-0.226733,-0.393000,-0.020000,23.604000,10.000000,0.000000,1,1,0,0.563000,0.139743,0.001000,-0.180000,39.628002,10.000000,0.000000,1,1,0,-0.950000,-0.146400,-0.004000,0.020000,-66.251999,-10.000000,0.000000,1,1,0,0.000000,0.215733,0.385000,-0.130000,-22.943998,-10.000000,0.000000,1,1,0,-0.563000,-0.143171,-0.001000,0.030000,-39.388004,-10.000000,0.000000,1,1,0,0.950000,0.144914,0.000000,0.090000,66.356003,10.000000,0.000000,1,1,0,0.000000,-0.252933,-0.418000,-0.080000,25.176001,10.000000,0.000000,1,1,0,-0.563000,-0.145400,-0.003000,0.020000,-39.232002,-10.000000,0.000000,1,1,0,0.950000,0.144629,0.002000,-0.010000,66.375999,10.000000,0.000000,1,1,0,0.000000,0.227133,0.395000,-0.060000,-23.628000,-10.000000,0.000000,1,1,0,0.563000,0.140771,-0.003000,0.040000,39.556004,10.000000,0.000000,1,1,0,-0.950000,-0.145600,0.000000,-0.120000,-66.307999,-10.000000,0.000000,1,1,0
1783902943.175128,3,0.148148,0.000000,0.000000,0.000000,50.248,14.000,,,,,0,0.000000,-0.224933,-0.393000,0.070000,23.496000,10.000000,0.000000,1,1,0,0.563000,0.141800,0.001000,-0.090000,39.484005,10.000000,0.000000,1,1,0,-0.950000,-0.148000,-0.004000,-0.050000,-66.139999,-10.000000,0.000000,1,1,0,0.000000,0.219333,0.385000,0.050000,-23.159998,-10.000000,0.000000,1,1,0,-0.563000,-0.142486,-0.001000,0.060000,-39.436005,-10.000000,0.000000,1,1,0,0.950000,0.141486,0.000000,-0.060000,66.596001,10.000000,0.000000,1,1,0,0.000000,-0.252933,-0.418000,-0.080000,25.176001,10.000000,0.000000,1,1,0,-0.563000,-0.144943,-0.003000,0.040000,-39.264000,-10.000000,0.000000,1,1,0,0.950000,0.146229,0.002000,0.060000,66.264000,10.000000,0.000000,1,1,0,0.000000,0.230533,0.395000,0.110000,-23.832001,-10.000000,0.000000,1,1,0,0.563000,0.138257,-0.003000,-0.070000,39.732002,10.000000,0.000000,1,1,0,-0.950000,-0.144229,0.000000,-0.060000,-66.403999,-10.000000,0.000000,1,1,0
1783902943.195084,4,0.185185,0.000000,0.000000,0.000000,49.961,13.000,,,,,0,0.000000,-0.223933,-0.393000,0.120000,23.436001,10.000000,0.000000,1,1,0,0.563000,0.144543,0.001000,0.030000,39.292004,10.000000,0.000000,1,1,0,-0.950000,-0.148914,-0.004000,-0.090000,-66.076004,-10.000000,0.000000,1,1,0,0.000000,0.219733,0.385000,0.070000,-23.183998,-10.000000,0.000000,1,1,0,-0.563000,-0.143400,-0.001000,0.020000,-39.372005,-10.000000,0.000000,1,1,0,0.950000,0.144229,0.000000,0.060000,66.403999,10.000000,0.000000,1,1,0,0.000000,-0.251733,-0.418000,-0.020000,25.104000,10.000000,0.000000,1,1,0,-0.563000,-0.144257,-0.003000,0.070000,-39.312000,-10.000000,0.000000,1,1,0,0.950000,0.146229,0.002000,0.060000,66.264000,10.000000,0.000000,1,1,0,0.000000,0.228333,0.395000,0.000000,-23.700001,-10.000000,0.000000,1,1,0,0.563000,0.142143,-0.003000,0.100000,39.460003,10.000000,0.000000,1,1,0,-0.950000,-0.142400,0.000000,0.020000,-66.531998,-10.000000,0.000000,1,1,0
1783902943.215444,5,0.222222,0.000000,0.000000,0.000000,49.770,15.000,,,,,0,0.000000,-0.227533,-0.393000,-0.060000,23.652000,10.000000,0.000000,1,1,0,0.563000,0.144629,0.002000,-0.010000,39.286003,10.000000,0.000000,1,1,0,-0.950000,-0.144114,-0.004000,0.120000,-66.412003,-10.000000,0.000000,1,1,0,0.000000,0.219733,0.385000,0.070000,-23.183998,-10.000000,0.000000,1,1,0,-0.563000,-0.145000,-0.001000,-0.050000,-39.260002,-10.000000,0.000000,1,1,0,0.950000,0.145829,0.000000,0.130000,66.292000,10.000000,0.000000,1,1,0,0.000000,-0.250133,-0.418000,0.060000,25.007999,10.000000,0.000000,1,1,0,-0.563000,-0.144486,-0.003000,0.060000,-39.296001,-10.000000,0.000000,1,1,0,0.950000,0.147600,0.002000,0.120000,66.167999,10.000000,0.000000,1,1,0,0.000000,0.228133,0.395000,-0.010000,-23.688002,-10.000000,0.000000,1,1,0,0.563000,0.137571,-0.003000,-0.100000,39.780003,10.000000,0.000000,1,1,0,-0.950000,-0.139886,0.000000,0.130000,-66.708000,-10.000000,0.000000,1,1,0
1783902943.235819,6,0.259259,0.000000,0.000000,0.000000,49.951,15.000,,,,,0,0.000000,-0.229133,-0.393000,-0.140000,23.747999,10.000000,0.000000,1,1,0,0.563000,0.143857,0.001000,0.000000,39.340004,10.000000,0.000000,1,1,0,-0.950000,-0.148914,-0.004000,-0.090000,-66.076004,-10.000000,0.000000,1,1,0,0.000000,0.217533,0.385000,-0.040000,-23.051998,-10.000000,0.000000,1,1,0,-0.563000,-0.142486,-0.001000,0.060000,-39.436005,-10.000000,0.000000,1,1,0,0.950000,0.142400,0.000000,-0.020000,66.531998,10.000000,0.000000,1,1,0,0.000000,-0.246733,-0.418000,0.230000,24.804001,10.000000,0.000000,1,1,0,-0.563000,-0.146314,-0.003000,-0.020000,-39.167999,-10.000000,0.000000,1,1,0,0.950000,0.142800,0.002000,-0.090000,66.503998,10.000000,0.000000,1,1,0,0.000000,0.229133,0.395000,0.040000,-23.748001,-10.000000,0.000000,1,1,0,0.563000,0.141000,-0.003000,0.050000,39.540001,10.000000,0.000000,1,1,0,-0.950000,-0.143086,0.000000,-0.010000,-66.484001,-10.000000,0.000000,1,1,0
1783902943.255751,7,0.296296,0.000000,0.000000,0.000000,49.727,13.000,,,,,0,0.000000,-0.225933,-0.393000,0.020000,23.556000,10.000000,0.000000,1,1,0,0.563000,0.144543,0.001000,0.030000,39.292004,10.000000,0.000000,1,1,0,-0.950000,-0.148229,-0.004000,-0.060000,-66.124001,-10.000000,0.000000,1,1,0,0.000000,0.217733,0.385000,-0.030000,-23.063999,-10.000000,0.000000,1,1,0,-0.563000,-0.144314,-0.001000,-0.020000,-39.308002,-10.000000,0.000000,1,1,0,0.950000,0.143086,0.000000,0.010000,66.484001,10.000000,0.000000,1,1,0,0.000000,-0.252933,-0.418000,-0.080000,25.176001,10.000000,0.000000,1,1,0,-0.563000,-0.141514,-0.003000,0.190000,-39.504002,-10.000000,0.000000,1,1,0,0.950000,0.145771,0.002000,0.040000,66.295998,10.000000,0.000000,1,1,0,0.000000,0.227533,0.395000,-0.040000,-23.652000,-10.000000,0.000000,1,1,0,0.563000,0.140543,-0.003000,0.030000,39.572002,10.000000,0.000000,1,1,0,-0.950000,-0.142400,0.000000,0.020000,-66.531998,-10.000000,0.000000,1,1,0
1783902943.275701,8,0.333333,0.000000,0.000000,0.000000,50.270,14.000,,,,,0,0.000000,-0.225133,-0.393000,0.060000,23.507999,10.000000,0.000000,1,1,0,0.563000,0.145543,0.002000,0.030000,39.222004,10.000000,0.000000,1,1,0,-0.950000,-0.146857,-0.004000,0.000000,-66.220001,-10.000000,0.000000,1,1,0,0.000000,0.218333,0.385000,0.000000,-23.099998,-10.000000,0.000000,1,1,0,-0.563000,-0.143171,-0.001000,0.030000,-39.388004,-10.000000,0.000000,1,1,0,0.950000,0.139657,0.000000,-0.140000,66.723999,10.000000,0.000000,1,1,0,0.000000,-0.254133,-0.418000,-0.140000,25.247999,10.000000,0.000000,1,1,0,-0.563000,-0.149057,-0.003000,-0.140000,-38.976002,-10.000000,0.000000,1,1,0,0.950000,0.147371,0.002000,0.110000,66.183998,10.000000,0.000000,1,1,0,0.000000,0.228133,0.395000,-0.010000,-23.688002,-10.000000,0.000000,1,1,0,0.563000,0.137571,-0.003000,-0.100000,39.780003,10.000000,0.000000,1,1,0,-0.950000,-0.144686,0.000000,-0.080000,-66.372002,-10.000000,0.000000,1,1,0
1783902943.295433,9,0.370370,0.000000,0.000000,0.000000,49.899,15.000,,,,,0,0.000000,-0.228133,-0.393000,-0.090000,23.688000,10.000000,0.000000,1,1,0,0.563000,0.148057,0.002000,0.140000,39.046005,10.000000,0.000000,1,1,0,-0.950000,-0.145714,-0.004000,0.050000,-66.300003,-10.000000,0.000000,1,1,0,0.000000,0.218533,0.385000,0.010000,-23.111998,-10.000000,0.000000,1,1,0,-0.563000,-0.141343,-0.001000,0.110000,-39.516003,-10.000000,0.000000,1,1,0,0.950000,0.144000,0.000000,0.050000,66.419998,10.000000,0.000000,1,1,0,0.000000,-0.250933,-0.418000,0.020000,25.056000,10.000000,0.000000,1,1,0,-0.563000,-0.143571,-0.003000,0.100000,-39.360001,-10.000000,0.000000,1,1,0,0.950000,0.145771,0.002000,0.040000,66.295998,10.000000,0.000000,1,1,0,0.000000,0.227733,0.395000,-0.030000,-23.664001,-10.000000,0.000000,1,1,0,0.563000,0.141457,-0.003000,0.070000,39.508003,10.000000,0.000000,1,1,0,-0.950000,-0.144000,0.000000,-0.050000,-66.419998,-10.000000,0.000000,1,1,0
1783902943.314963,10,0.407407,0.000000,0.000000,0.000000,50.315,14.000,,,,,0,0.000000,-0.228933,-0.393000,-0.130000,23.736000,10.000000,0.000000,1,1,0,0.563000,0.143857,0.001000,0.000000,39.340004,10.000000,0.000000,1,1,0,-0.950000,-0.145714,-0.004000,0.050000,-66.300003,-10.000000,0.000000,1,1,0,0.000000,0.220333,0.385000,0.100000,-23.219999,-10.000000,0.000000,1,1,0,-0.563000,-0.144771,-0.001000,-0.040000,-39.276005,-10.000000,0.000000,1,1,0,0.950000,0.142857,0.000000,0.000000,66.500000,10.000000,0.000000,1,1,0,0.000000,-0.249533,-0.418000,0.090000,24.972000,10.000000,0.000000,1,1,0,-0.563000,-0.146314,-0.003000,-0.020000,-39.167999,-10.000000,0.000000,1,1,0,0.950000,0.144171,0.002000,-0.030000,66.407997,10.000000,0.000000,1,1,0,0.000000,0.227333,0.395000,-0.050000,-23.640001,-10.000000,0.000000,1,1,0,0.563000,0.138714,-0.003000,-0.050000,39.700005,10.000000,0.000000,1,1,0,-0.950000,-0.141714,0.000000,0.050000,-66.580002,-10.000000,0.000000,1,1,0
