elapsed_ms,q_base,q_target,angle,speed,type2_torque,iqf_0x701A,t_ref_est,age_ms,sample_ms
31.181549999928393,0.001,0.031,0.001,0.0,0.0,-0.02721649408340454,2.1,14.0,25.765440000213857
53.480264999961946,0.001,0.031,0.001,0.47,0.8,0.48697999119758606,1.348,11.0,22.24582199960423
76.12965200041799,0.001,0.031,0.014,0.74,0.0,-0.00476924329996109,0.006000000000000227,8.0,22.615021000092383
101.56563500004268,0.001,0.031,0.027,-0.04,0.0,0.3601956069469452,0.34400000000000003,7.0,25.36078599950997
125.13846900037606,0.001,0.031,0.029,-0.02,0.0,0.16927719116210938,0.17199999999999988,3.0,23.539330999483354
149.16469099989627,0.001,0.031,0.029,0.09,0.0,0.17340496182441711,-0.004000000000000115,11.0,23.989519000679138
174.41437900015444,0.001,0.031,0.03,0.05,0.07,0.25301632285118103,-0.009999999999999953,5.0,25.215800999831117
197.29604399981326,0.001,0.031,0.03,0.05,0.07,-0.07333917170763016,-0.009999999999999953,6.0,22.800643999289605
221.11497900004906,0.001,0.031,0.029,-0.04,0.0,0.03230131417512894,0.20399999999999988,9.0,23.785913000210712
245.5611820005288,0.001,0.031,0.029,0.02,0.0,0.3203468322753906,0.10799999999999987,3.0,24.408124999354186
269.07337900047423,0.001,0.031,0.029,-0.11,0.08,0.16383004188537598,0.3159999999999999,13.0,23.47623100013152
293.2341550003912,0.001,0.031,0.03,-0.01,0.15,0.373773455619812,0.08600000000000006,5.0,24.12436200029333
316.8522670002858,0.001,0.031,0.03,0.05,0.24,0.11293792724609375,-0.009999999999999953,14.0,23.589217999870016
341.54405900062557,0.001,0.031,0.03,0.11,0.14,0.08434494584798813,-0.10599999999999996,0.0,24.61752399995021
365.28709400045045,0.001,0.031,0.03,-0.04,0.0,0.06176644563674927,0.13400000000000006,3.0,23.70914799939783
