time,relative_time,dt,loop_wall_dt,feedback_read_ms,core_step_ms,send_motion_ms,csv_write_ms,total_loop_ms,pre_csv_loop_ms,node_state,phase,active_swing_pair,q_cmd_final_sim_FR_hip,q_cmd_final_sim_FR_thigh,q_cmd_final_sim_FR_calf,q_cmd_final_sim_FL_hip,q_cmd_final_sim_FL_thigh,q_cmd_final_sim_FL_calf,q_cmd_final_sim_RR_hip,q_cmd_final_sim_RR_thigh,q_cmd_final_sim_RR_calf,q_cmd_final_sim_RL_hip,q_cmd_final_sim_RL_thigh,q_cmd_final_sim_RL_calf,q_actual_sim_FR_hip,q_actual_sim_FR_thigh,q_actual_sim_FR_calf,q_actual_sim_FL_hip,q_actual_sim_FL_thigh,q_actual_sim_FL_calf,q_actual_sim_RR_hip,q_actual_sim_RR_thigh,q_actual_sim_RR_calf,q_actual_sim_RL_hip,q_actual_sim_RL_thigh,q_actual_sim_RL_calf,q_error_sim_FR_hip,q_error_sim_FR_thigh,q_error_sim_FR_calf,q_error_sim_FL_hip,q_error_sim_FL_thigh,q_error_sim_FL_calf,q_error_sim_RR_hip,q_error_sim_RR_thigh,q_error_sim_RR_calf,q_error_sim_RL_hip,q_error_sim_RL_thigh,q_error_sim_RL_calf,fk_clearance_actual_FR,fk_clearance_actual_FL,fk_clearance_actual_RR,fk_clearance_actual_RL,real_vmc_scale,kp_FR_hip,kp_FR_thigh,kp_FR_calf,kp_FL_hip,kp_FL_thigh,kp_FL_calf,kp_RR_hip,kp_RR_thigh,kp_RR_calf,kp_RL_hip,kp_RL_thigh,kp_RL_calf,kd_FR_hip,kd_FR_thigh,kd_FR_calf,kd_FL_hip,kd_FL_thigh,kd_FL_calf,kd_RR_hip,kd_RR_thigh,kd_RR_calf,kd_RL_hip,kd_RL_thigh,kd_RL_calf,max_q_error,max_tau_est,max_current,max_temp,safety_stop,stop_reason,sent,communication_ok,api_total_ms,spi_total_ms,num_spi_frames,num_can_frames,actual_send_hz,send_period_p95_ms,send_period_max_ms
1782715822.827077,0.0,0.022305727005004883,0.022305727005004883,0.40451599943480687,4.340155000136292,16.007944999728352,0.0,0.0,21.760978000202158,running,0.023,1,-0.1571,0.3491000000000003,-0.7854000000000005,0.1571,0.3491000000000003,-0.7854000000000005,-0.1571,0.3491000000000003,-0.7854000000000005,0.1571,0.3491000000000003,-0.7854000000000005,-0.0820000022649765,0.3330000042915344,-0.7720000147819519,0.08799999952316284,0.335999995470047,-0.7540000081062317,-0.03999999910593033,0.33500000834465027,-0.75,0.05400000140070915,0.33799999952316284,-0.7720000147819519,-0.07509999773502349,0.016099995708465875,-0.013399985218048638,0.06910000047683715,0.013100004529953302,-0.03139999189376885,-0.11710000089406966,0.01409999165535003,-0.03540000000000054,0.10309999859929084,0.011100000476837457,-0.013399985218048638,-0.0006699564171098737,-0.00181584331669149,-0.0020479941614290897,-0.0007278887755593488,0.0,50.0,80.0,80.0,59.39537040393966,130.23031475634696,140.23031475634696,59.29656762352521,130.01367973741083,139.99704497619248,50.0,80.0,80.0,5.0,5.0,5.0,6.0,6.0,6.0,6.001330780897468,6.001330780897468,6.001330780897468,5.0,5.0,5.0,0.11710000089406966,0.5699999928474426,0.0,31.899999618530273,0,,1,1,3.8893270002517966,3.8798220002718153,2,12,0.0,0.0,0.0
1782715822.8495803,0.02,0.023331165313720703,0.023331165313720703,0.27595000028668437,4.029959000035888,16.01309699981357,0.5663040001309128,0.0,20.94000800025242,running,0.046,1,-0.1571,0.3499693989941238,-0.7864210927306672,0.1570999999019629,0.34850120317441086,-0.784786782665792,-0.1570999999019629,0.34849866668509005,-0.7847814900445133,0.1571,0.3501512586397015,-0.7868004720796345,-0.0820000022649765,0.3330000042915344,-0.7720000147819519,0.08799999952316284,0.335999995470047,-0.7540000081062317,-0.03999999910593033,0.33500000834465027,-0.75,0.05400000140070915,0.33799999952316284,-0.7720000147819519,-0.07509999773502349,0.016969394702589402,-0.014421077948715277,0.06910000037880007,0.01250120770436386,-0.03078677455956036,-0.11710000079603258,0.013498658340439784,-0.03478149004451325,0.10309999859929084,0.012151259116538637,-0.014800457297682645,-0.0006699564171098737,-0.00181584331669149,-0.0020479941614290897,-0.0007278887755593488,0.009831171800237192,50.0,80.0,80.0,61.864937440189756,139.49351540071154,149.49351540071157,61.864937440189756,139.49351540071154,149.49351540071157,50.0,80.0,80.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,0.11710000079603258,0.6000000238418579,0.0,31.899999618530273,0,,1,1,5.699969000488636,5.6916149997050525,2,12,41.204148383687,24.26940100031061,24.26940100031061
1782715822.869862,0.04,0.022177696228027344,0.022177696228027344,0.26970900034939405,4.170622999481566,13.988275999508915,0.4386340006021783,0.0,19.045097000343958,running,0.069,1,-0.1571,0.3522748071962605,-0.7905289332597781,0.15709999959286924,0.3479777507948798,-0.7841844528951277,-0.15709999959286924,0.34797258737706604,-0.7841736780839482,0.1571,0.3532219825392683,-0.7925048997596659,-0.08299999684095383,0.3330000042915344,-0.7720000147819519,0.08799999952316284,0.335999995470047,-0.7540000081062317,-0.03999999910593033,0.33500000834465027,-0.75,0.05400000140070915,0.33799999952316284,-0.7720000147819519,-0.07410000315904616,0.01927480290472605,-0.01852891847782623,0.0691000000697064,0.011977755324832806,-0.030184444788896037,-0.11710000048693892,0.012972579032415776,-0.03417367808394822,0.10309999859929084,0.015221983016105445,-0.020504884977713966,-0.0006699564171098737,-0.00181584331669149,-0.0020479941614290897,-0.0007278887755593488,0.02,50.0,80.0,80.0,62.0,140.0,150.0,62.0,140.0,150.0,50.0,80.0,80.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,0.11710000048693892,0.6499999761581421,0.0,31.899999618530273,0,,1,1,3.5520869996616966,3.542516999914369,2,12,46.77940300058769,24.26940100031061,24.26940100031061
1782715822.8907795,0.06,0.020505666732788086,0.020505666732788086,0.26487699960853206,4.003971000202,14.543954000146186,0.3939220005122479,0.0,19.4563980003295,running,0.092,1,-0.1571,0.35653539061316164,-0.7989020482931698,0.15709999865559465,0.3475431199518675,-0.7835855941175214,-0.15709999865559465,0.3475453329809148,-0.783590212373031,0.1571,0.3590393975035509,-0.8041271117818725,-0.09000000357627869,0.335999995470047,-0.7749999761581421,0.09399999678134918,0.3400000035762787,-0.7620000243186951,-0.03999999910593033,0.33500000834465027,-0.75,0.05400000140070915,0.33799999952316284,-0.7720000147819519,-0.0670999964237213,0.020535395143114643,-0.023902072135027708,0.06310000187424547,0.007543116375588799,-0.02158556979882631,-0.11709999954966432,0.01254532463626451,-0.03359021237303095,0.10309999859929084,0.021039397980388064,-0.03212709699992056,-0.0005162559717876158,-0.001365912775040501,-0.0020479941614290897,-0.0007278887755593488,0.03,50.0,80.0,80.0,62.0,140.0,150.0,62.0,140.0,150.0,50.0,80.0,80.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,0.11709999954966432,0.8600000143051147,0.0,31.899999618530273,0,,1,1,3.117260999715654,3.1074680000529042,2,12,47.08969590353636,24.26940100031061,24.26940100031061
1782715822.9112701,0.08,0.021013259887695312,0.021013259887695312,0.43770599950221367,3.862794999804464,13.975634000416903,0.3873289997500251,0.0,18.933686000309535,running,0.11499999999999999,1,-0.1571,0.3622624157377319,-0.8106209240907167,0.15709999760994606,0.3472210182954045,-0.7830101599423114,-0.15709999760994606,0.34722397105194014,-0.7830163218924799,0.1571,0.3669159566677265,-0.8203357633348626,-0.09700000286102295,0.33799999952316284,-0.7770000100135803,0.11100000143051147,0.34299999475479126,-0.7689999938011169,-0.07199999690055847,0.34200000762939453,-0.7699999809265137,0.08299999684095383,0.34200000762939453,-0.7760000228881836,-0.06009999713897704,0.024262416214569038,-0.03362091407713641,0.04609999617943458,0.004221023540613267,-0.014010166141194436,-0.08510000070938759,0.005223963422545608,-0.013016340965966267,0.07410000315904616,0.02491594903833194,-0.044335740446678984,-0.0004130485985058274,-0.0009640157918432424,-0.0008930625248309565,-0.000519711440800652,0.04,50.0,80.0,80.0,62.0,140.0,150.0,62.0,140.0,150.0,50.0,80.0,80.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,0.08510000070938759,0.8700000047683716,0.0,31.899999618530273,0,,1,1,3.2373459998780163,3.227487000003748,2,12,47.46476115274618,24.26940100031061,24.26940100031061
1782715822.9317205,0.1,0.020485877990722656,0.020485877990722656,0.277166000159923,3.9469050007028272,14.056191999770817,0.41667799996503163,0.0,18.899376000263146,running,0.13799999999999998,1,-0.1571,0.3681295258649159,-0.8230020116215104,0.15710084410102165,0.34700966659563237,-0.7824329361000673,-0.15710084410102165,0.34703264230568254,-0.7824808805773965,0.1571,0.37501501913641205,-0.8373844743449621,-0.11100000143051147,0.3400000035762787,-0.7799999713897705,0.11800000071525574,0.3449999988079071,-0.7770000100135803,-0.09799999743700027,0.3440000116825104,-0.7749999761581421,0.09300000220537186,0.3449999988079071,-0.7799999713897705,-0.046099998569488515,0.028129522288637188,-0.043002040231739924,0.039100843385765915,0.0020096677877252667,-0.005432926086486933,-0.05910084666402138,0.003032630623172161,-0.007480904419254419,0.06409999779462813,0.03001502032850495,-0.057384502955191596,-0.0002458840899539627,-0.00048702624981511455,-0.0006020267736800422,-0.0002993398992073293,0.05,50.0,80.0,80.0,62.0,140.0,150.0,62.0,140.0,150.0,50.0,80.0,80.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,0.06409999779462813,0.4699999988079071,0.0,31.899999618530273,0,,1,1,3.4507890004533692,3.4409320005579502,2,12,47.728220241033306,24.26940100031061,24.26940100031061
1782715822.9525964,0.12,0.020599365234375,0.020599365234375,0.2726220000113244,3.930293999474088,14.358386999447248,0.6153679996714345,0.0,19.175935000021127,running,0.16099999999999998,1,-0.1571,0.37277331972296746,-0.8332502600458993,0.15710122326106232,0.34697727267716066,-0.7819842235812641,-0.15710122326106232,0.34691551792625464,-0.7818553696960688,0.1571,0.38147882214248574,-0.8514448427139887,-0.11599999666213989,0.34200000762939453,-0.7839999794960022,0.12399999797344208,0.34599998593330383,-0.7789999842643738,-0.10700000077486038,0.3449999988079071,-0.7799999713897705,0.10100000351667404,0.3479999899864197,-0.7839999794960022,-0.0411000033378601,0.030773312093572924,-0.04925028054989711,0.033101225287620245,0.0009772867438568311,-0.0029842393168902914,-0.05010122248620194,0.0019155191183475306,-0.0018553983062983281,0.05609999648332595,0.03347883215606606,-0.06744486321798648,-1.4351110592336624e-05,-0.00037174731859490606,-0.0002993398992073293,-7.750777299653233e-05,0.06,50.0,80.0,80.0,62.0,140.0,150.0,62.0,140.0,150.0,50.0,80.0,80.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,0.06744486321798648,0.7599999904632568,0.0,31.899999618530273,0,,1,1,5.271672000162653,5.262550000225019,2,12,47.13558725306675,24.26940100031061,24.26940100031061
1782715822.9728029,0.14,0.02073812484741211,0.02073812484741211,0.2648130002853577,3.868524000608886,13.9303790001577,0.3964509996876586,0.0,18.642853000528703,running,0.18399999999999997,1,-0.1571,0.3760394894582998,-0.8410526492801579,0.1571028864637691,0.34709528410013785,-0.7816027856460734,-0.1571028864637691,0.3469025505401602,-0.7812006984137722,0.1571,0.3861176572371564,-0.8621281927970508,-0.11900000274181366,0.3440000116825104,-0.7870000004768372,0.13300000131130219,0.34599998593330383,-0.7799999713897705,-0.11500000208616257,0.3449999988079071,-0.7799999713897705,0.11299999803304672,0.3499999940395355,-0.7900000214576721,-0.03809999725818633,0.032039477775789416,-0.054052648803320724,0.02410288515246692,0.0010952981668340134,-0.0016028142563029313,-0.042102884377606536,0.0019025517322531216,-0.0012007270240016465,0.04410000196695327,0.036117663197620886,-0.07212817133937865,0.0001543978594820139,-0.0003091851808720847,-0.0002993398992073293,0.0002819094272433764,0.07,50.0,80.0,80.0,62.0,140.0,150.0,62.0,140.0,150.0,50.0,80.0,80.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,0.07212817133937865,0.8399999737739563,0.0,31.899999618530273,0,,1,1,3.4754010002870928,3.4671439998419373,2,12,47.9988083131449,24.26940100031061,24.26940100031061
1782715822.9932837,0.16,0.01979517936706543,0.01979517936706543,0.3085959997406462,4.330585999923642,14.031900000190944,0.39405099960276857,0.0,19.32792800016614,running,0.20699999999999996,1,-0.1571,0.3769163734768135,-0.844258119954253,0.157103770075127,0.34728399561461476,-0.7811314855980473,-0.157103770075127,0.3470635485834519,-0.7806716716465308,0.1571,0.3875643510586142,-0.8665355221060299,-0.12600000202655792,0.3490000069141388,-0.7979999780654907,0.13600000739097595,0.34700000286102295,-0.7799999713897705,-0.11900000274181366,0.34599998593330383,-0.781000018119812,0.11299999803304672,0.3529999852180481,-0.7950000166893005,-0.031099997973442067,0.02791636656267471,-0.046258141888762316,0.02110376268415104,0.00028399275359181075,-0.0011315142082768403,-0.03810376733331333,0.0010635626501480644,0.0003283464732811714,0.04410000196695327,0.0345643658405661,-0.07153550541672937,0.0008048784751826799,-0.000318748804940705,-0.00024648417196199146,0.000570257195335766,0.08,50.0,80.0,80.0,62.0,140.0,150.0,62.0,140.0,150.0,50.0,80.0,80.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,0.07153550541672937,0.9399999976158142,0.0,31.899999618530273,0,,1,1,3.3857550006359816,3.375991999746475,2,12,48.12107184677251,24.26940100031061,24.26940100031061
1782715823.013029,0.18,0.02054286003112793,0.02054286003112793,0.26250799965055194,4.3235120001554606,13.34410100025707,0.4065000002810848,0.0,18.530575999648136,running,0.22999999999999995,1,-0.1571,0.37260548281779954,-0.8369318340045389,0.1571048303661975,0.3475602230846531,-0.7806252335731853,-0.1571048303661975,0.3473606258943166,-0.7802090085311915,0.1571,0.3820018872100614,-0.8565916071558655,-0.12999999523162842,0.35199999809265137,-0.8040000200271606,0.1379999965429306,0.34700000286102295,-0.7799999713897705,-0.1289999932050705,0.34599998593330383,-0.781000018119812,0.12200000137090683,0.3619999885559082,-0.8130000233650208,-0.02710000476837157,0.02060548472514817,-0.03293181397737821,0.019104833823266887,0.0005602202236301701,-0.0006252621834147432,-0.028104837161126994,0.0013606399610127662,0.0007910095886205504,0.03509999862909316,0.020001898654153194,-0.04359158379084471,0.0011601945553456616,-0.000318748804940705,-0.00024648417196199146,0.0016405847557721676,0.09,50.0,80.0,80.0,62.0,140.0,150.0,62.0,140.0,150.0,50.0,80.0,80.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,0.04359158379084471,0.8299999833106995,0.0,31.899999618530273,0,,1,1,3.4427239997967263,3.4340809997956967,2,12,48.31405268015064,24.26940100031061,24.26940100031061
